id,product_id,color,color_hex,size,sku,stock_qty,created_at
v_1,prod_plain_pull,Maroon,,24,PLAIN-MAR-24,0,2026-05-08 12:00:00
v_2,prod_plain_pull,Maroon,,25,PLAIN-MAR-25,0,2026-05-08 12:00:00
v_3,prod_plain_pull,Maroon,,26,PLAIN-MAR-26,0,2026-05-08 12:00:00
v_4,prod_plain_pull,Maroon,,27,PLAIN-MAR-27,0,2026-05-08 12:00:00
v_5,prod_plain_pull,Maroon,,28,PLAIN-MAR-28,0,2026-05-08 12:00:00
v_6,prod_plain_pull,Maroon,,29,PLAIN-MAR-29,0,2026-05-08 12:00:00
v_7,prod_plain_pull,Maroon,,30,PLAIN-MAR-30,0,2026-05-08 12:00:00
v_8,prod_plain_pull,Maroon,,31,PLAIN-MAR-31,0,2026-05-08 12:00:00
v_9,prod_plain_pull,Maroon,,32,PLAIN-MAR-32,0,2026-05-08 12:00:00
v_10,prod_plain_pull,Maroon,,33,PLAIN-MAR-33,0,2026-05-08 12:00:00
v_11,prod_plain_pull,Maroon,,34,PLAIN-MAR-34,0,2026-05-08 12:00:00
v_12,prod_plain_pull,Maroon,,35,PLAIN-MAR-35,0,2026-05-08 12:00:00
v_13,prod_plain_pull,Maroon,,36,PLAIN-MAR-36,0,2026-05-08 12:00:00
v_14,prod_plain_pull,Maroon,,37,PLAIN-MAR-37,0,2026-05-08 12:00:00
v_15,prod_plain_pull,Maroon,,38,PLAIN-MAR-38,0,2026-05-08 12:00:00
v_16,prod_plain_pull,Maroon,,39,PLAIN-MAR-39,0,2026-05-08 12:00:00
v_17,prod_plain_pull,Maroon,,40,PLAIN-MAR-40,0,2026-05-08 12:00:00
v_18,prod_plain_pull,Green,,24,PLAIN-GRE-24,0,2026-05-08 12:00:00
v_19,prod_plain_pull,Green,,25,PLAIN-GRE-25,0,2026-05-08 12:00:00
v_20,prod_plain_pull,Green,,26,PLAIN-GRE-26,0,2026-05-08 12:00:00
v_21,prod_plain_pull,Green,,27,PLAIN-GRE-27,0,2026-05-08 12:00:00
v_22,prod_plain_pull,Green,,28,PLAIN-GRE-28,0,2026-05-08 12:00:00
v_23,prod_plain_pull,Green,,29,PLAIN-GRE-29,0,2026-05-08 12:00:00
v_24,prod_plain_pull,Green,,30,PLAIN-GRE-30,0,2026-05-08 12:00:00
v_25,prod_plain_pull,Green,,31,PLAIN-GRE-31,0,2026-05-08 12:00:00
v_26,prod_plain_pull,Green,,32,PLAIN-GRE-32,0,2026-05-08 12:00:00
